Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
ChiefsChiefs,408,1764,4.3,11,88,21.6
JetsJets,408,1454,3.6,11,70,17.2
JaguarsJaguars,416,1945,4.7,19,98,23.6
RaidersRaiders,474,2138,4.5,14,98,20.7
FalconsFalcons,366,1694,4.6,9,87,23.8
RavensRavens,384,1503,3.9,5,79,20.6
GiantsGiants,389,1620,4.2,11,88,22.6
SteelersSteelers,333,1004,3.0,5,61,18.3
ChargersChargers,404,1500,3.7,14,77,19.1
PatriotsPatriots,409,1728,4.2,10,99,24.2
DolphinsDolphins,447,1601,3.6,8,84,18.8
VikingsVikings,417,1635,3.9,10,87,20.9
BuccaneersBuccaneers,444,2107,4.8,12,118,26.6
RamsRams,404,1810,4.5,7,88,21.8
PanthersPanthers,503,1981,3.9,20,121,24.1
BengalsBengals,416,1843,4.4,15,97,23.3
CowboysCowboys,402,1734,4.3,11,84,20.9
EaglesEagles,423,1766,4.2,12,91,21.5
TexansTexans,433,1751,4.0,16,113,26.1
PackersPackers,395,1838,4.6,6,82,20.8
BearsBears,386,1441,3.7,14,88,22.8
BrownsBrowns,505,2070,4.1,7,102,20.2
TitansTitans,474,1851,3.9,7,107,22.6
LionsLions,443,1999,4.5,18,98,22.1
BillsBills,571,2714,4.8,18,138,24.2
NinersNiners,447,1547,3.5,9,86,19.2
BroncosBroncos,531,2473,4.7,26,126,23.7
ColtsColts,445,2032,4.6,14,111,24.9
SeahawksSeahawks,452,1903,4.2,13,91,20.1
SaintsSaints,421,1797,4.3,13,94,22.3
RedskinsRedskins,444,2041,4.6,15,106,23.9
CardinalsCardinals,526,2323,4.4,19,123,23.4
