Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
RavensRavens,214,75,16,11,74,19.3,993
TexansTexans,213,82,13,3,87,21.9,950
PatriotsPatriots,206,76,18,7,81,22.0,998
EaglesEagles,205,82,18,8,89,22.8,978
PanthersPanthers,211,80,13,9,90,23.9,1035
49ers49ers,226,102,7,4,140,25.6,1102
JaguarsJaguars,224,83,13,6,93,20.8,1030
SaintsSaints,194,84,10,4,91,23.0,1008
BroncosBroncos,236,86,16,6,101,21.0,1076
GiantsGiants,238,84,14,7,82,20.6,1062
RaidersRaiders,198,78,15,4,94,22.3,987
TitansTitans,210,77,22,12,70,19.7,1031
CardinalsCardinals,219,85,15,7,90,21.2,1019
BuccaneersBuccaneers,195,67,10,8,102,23.9,1013
ChiefsChiefs,222,96,20,10,102,23.3,1063
RamsRams,220,82,14,12,91,21.5,1037
VikingsVikings,206,80,14,3,87,21.5,993
BrownsBrowns,206,93,12,9,121,24.3,1067
BillsBills,205,82,14,4,122,26.1,1017
BengalsBengals,217,86,19,9,95,23.1,1038
PackersPackers,199,82,18,12,80,21.3,987
JetsJets,210,84,10,2,86,20.1,1000
SeahawksSeahawks,212,82,20,6,94,21.3,1020
ColtsColts,193,80,8,3,93,22.7,1024
SteelersSteelers,214,88,21,11,95,25.8,997
ChargersChargers,208,83,16,11,98,23.9,1025
RedskinsRedskins,208,97,16,9,109,25.8,1050
LionsLions,198,90,8,3,99,25.4,964
CowboysCowboys,197,77,14,9,79,23.2,1009
DolphinsDolphins,213,77,16,9,109,23.5,1088
BearsBears,210,85,14,10,99,22.2,1012
FalconsFalcons,213,89,25,18,95,25.7,1059
