Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
RavensRavens,592,2376,4.0,20,10,4,82,132,22.3,11
FalconsFalcons,560,2443,4.4,23,16,5,70T,130,23.2,8
VikingsVikings,519,2338,4.5,15,23,4,67,119,22.9,13
PatriotsPatriots,513,2278,4.4,21,11,2,49T,145,28.3,4
TitansTitans,508,2199,4.3,24,15,5,80,108,21.3,6
PanthersPanthers,504,2437,4.8,30,24,6,69,118,23.4,4
GiantsGiants,502,2518,5.0,19,24,3,77,130,25.9,7
RedskinsRedskins,478,2095,4.4,12,17,0,31T,109,22.8,5
SteelersSteelers,460,1690,3.7,16,8,0,34,93,20.2,4
RaidersRaiders,459,1987,4.3,9,12,3,67T,87,19.0,11
BuccaneersBuccaneers,451,1837,4.1,13,8,4,68T,100,22.2,6
DolphinsDolphins,448,1897,4.2,18,11,4,62,111,24.8,6
BillsBills,439,1842,4.2,16,9,1,50T,107,24.4,7
PackersPackers,437,1805,4.1,11,10,2,73T,98,22.4,11
BearsBears,434,1673,3.8,15,10,2,50T,98,22.6,4
TexansTexans,432,1846,4.3,16,13,5,71,106,24.5,9
EaglesEagles,427,1697,4.0,15,11,0,39T,94,22.0,4
JaguarsJaguars,426,1774,4.2,17,11,2,46,106,24.9,5
JetsJets,422,2004,4.8,20,11,4,61,94,22.3,9
ChargersChargers,421,1726,4.1,13,11,3,45,92,21.8,3
BengalsBengals,420,1520,3.6,6,7,1,46T,80,19.0,10
RamsRams,417,1649,4.0,8,9,1,56,95,22.8,8
SeahawksSeahawks,417,1768,4.2,10,13,2,45,103,24.7,7
BrownsBrowns,409,1605,3.9,6,7,1,72T,84,20.5,8
CowboysCowboys,401,1723,4.3,12,12,1,60,102,25.4,9
SaintsSaints,398,1594,4.0,20,9,2,43,103,25.9,8
NinersNiners,397,1599,4.0,10,9,1,41,82,20.6,15
BroncosBroncos,387,1862,4.8,15,8,2,71T,103,26.6,8
ChiefsChiefs,379,1810,4.8,9,15,3,65,94,24.8,11
ColtsColts,370,1274,3.4,13,5,0,38,79,21.4,4
LionsLions,352,1332,3.8,10,9,1,50,70,19.9,8
CardinalsCardinals,340,1178,3.5,14,5,0,35T,72,21.2,5
