Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,1
RavensRavens,0,0,2
BillsBills,0,0,2
PanthersPanthers,0,1,1
BearsBears,0,1,1
BengalsBengals,0,0,2
BrownsBrowns,0,0,0
CowboysCowboys,0,0,1
BroncosBroncos,0,0,0
LionsLions,0,2,2
PackersPackers,0,0,3
TitansTitans,0,0,4
TexansTexans,0,2,1
ColtsColts,0,0,2
JaguarsJaguars,0,0,0
ChiefsChiefs,0,1,2
RamsRams,0,0,1
RaidersRaiders,0,0,0
DolphinsDolphins,0,0,1
VikingsVikings,0,1,0
PatriotsPatriots,0,0,3
SaintsSaints,0,0,5
GiantsGiants,0,0,2
JetsJets,0,0,1
EaglesEagles,0,1,2
CardinalsCardinals,0,0,1
SteelersSteelers,0,0,2
ChargersChargers,0,0,1
NinersNiners,0,0,1
SeahawksSeahawks,0,0,2
BuccaneersBuccaneers,0,0,2
RedskinsRedskins,0,0,0
