Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
LionsLions,445,5139,11.6,22,67,10,57T,272,61.1,7
CowboysCowboys,434,4992,11.5,29,55,9,85T,237,54.6,4
SaintsSaints,423,5187,12.3,43,66,13,80,267,63.1,7
FalconsFalcons,422,4719,11.2,32,46,10,80,246,58.3,3
BroncosBroncos,402,4671,11.6,37,63,7,71,232,57.7,4
PatriotsPatriots,402,4844,12.0,34,57,8,83,256,63.7,5
RaidersRaiders,376,4292,11.4,24,52,10,64,200,53.2,6
PackersPackers,374,4342,11.6,40,55,9,73,213,57.0,2
EaglesEagles,367,4075,11.1,18,51,6,77,190,51.8,5
TexansTexans,354,4046,11.4,22,46,8,60,205,57.9,0
SteelersSteelers,354,4012,11.3,27,49,7,82,202,57.1,12
ColtsColts,339,4374,12.9,23,65,11,70,208,61.4,4
ChargersChargers,338,3606,10.7,26,41,3,80,183,54.1,2
CardinalsCardinals,337,3383,10.0,11,36,3,53,168,49.8,2
BengalsBengals,335,3807,11.4,28,39,14,73,173,51.6,6
RavensRavens,334,3996,12.0,22,62,12,61,182,54.5,0
RamsRams,332,3783,11.4,22,43,8,80,189,56.9,5
BrownsBrowns,328,3668,11.2,16,50,6,71,185,56.4,5
JaguarsJaguars,328,3746,11.4,20,48,8,81,157,47.9,3
GiantsGiants,323,3967,12.3,26,50,10,80,187,57.9,0
TitansTitans,318,3577,11.2,17,42,7,71,166,52.2,9
BuccaneersBuccaneers,311,4144,13.3,27,57,16,95,188,60.4,0
BillsBills,309,3430,11.1,24,44,7,68,176,57.0,7
VikingsVikings,300,2935,9.8,18,28,3,65,163,54.3,3
DolphinsDolphins,293,3425,11.7,13,42,3,80,158,53.9,4
RedskinsRedskins,291,3666,12.6,24,53,8,88,170,58.4,4
NinersNiners,289,3551,12.3,23,54,8,57,172,59.5,5
BearsBears,287,3298,11.5,21,39,6,60,163,56.8,3
PanthersPanthers,284,3927,13.8,19,58,11,82,171,60.2,4
ChiefsChiefs,273,2937,10.8,8,36,3,57,144,52.8,2
JetsJets,272,3178,11.7,14,40,6,66,162,59.6,7
SeahawksSeahawks,259,3234,12.5,27,45,11,67T,153,59.1,3
