Team,INT,INT TD,INT Yds,Lng
DolphinsDolphins,29,4,318,61
PatriotsPatriots,24,3,255,59
SeahawksSeahawks,24,8,455,56
RaidersRaiders,21,3,420,94
SaintsSaints,21,5,466,91
JetsJets,21,1,263,87T
49ers49ers,21,0,178,37
CardinalsCardinals,20,1,235,70T
ChargersChargers,20,1,203,30T
FalconsFalcons,19,2,224,36
PanthersPanthers,19,2,295,56T
BroncosBroncos,19,2,439,80
VikingsVikings,19,3,341,79T
GiantsGiants,19,3,217,43
BillsBills,18,1,204,43T
RavensRavens,17,2,161,60T
RamsRams,16,1,201,41T
SteelersSteelers,16,3,335,78T
BearsBears,14,1,129,28
CowboysCowboys,14,1,250,71T
BengalsBengals,13,1,144,58T
PackersPackers,13,1,111,33T
JaguarsJaguars,13,0,119,34
ChiefsChiefs,13,0,187,28
RedskinsRedskins,13,0,190,54
LionsLions,12,1,132,34T
OilersOilers,12,2,98,33
BuccaneersBuccaneers,12,1,212,56T
EaglesEagles,9,0,158,33
ColtsColts,8,0,97,30
