Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
OilersOilers,460,267,58.0,6.6,3060,18,21,160,34.8,38
49ers49ers,522,265,50.8,5.8,3015,17,17,157,30.1,44
BrownsBrowns,444,253,57.0,7.0,3085,32,13,169,38.1,32
RamsRams,501,296,59.1,7.5,3762,30,12,176,35.1,30
PackersPackers,479,256,53.4,7.1,3383,20,16,160,33.4,27
DolphinsDolphins,462,257,55.6,5.9,2716,14,19,145,31.4,45
RedskinsRedskins,514,281,54.7,6.1,3143,21,21,166,32.3,45
FalconsFalcons,537,297,55.3,7.3,3913,31,17,179,33.3,33
BroncosBroncos,479,284,59.3,7.1,3382,22,10,181,37.8,34
PatriotsPatriots,374,218,58.3,8.1,3021,21,14,139,37.2,33
VikingsVikings,422,218,51.7,6.3,2643,20,22,136,32.2,47
ColtsColts,492,301,61.2,6.9,3402,20,9,176,35.8,29
EaglesEagles,566,273,48.2,6.2,3491,23,19,169,29.9,45
CowboysCowboys,470,271,57.7,5.6,2639,12,11,153,32.6,36
ChargersChargers,462,254,55.0,6.3,2910,22,19,152,32.9,45
LionsLions,507,319,62.9,6.6,3346,21,17,173,34.1,41
JetsJets,516,311,60.3,6.7,3437,23,18,186,36.0,38
ChiefsChiefs,512,267,52.2,6.3,3241,16,20,164,32.0,60
SeahawksSeahawks,504,300,59.5,6.0,3004,19,12,171,33.9,33
BuccaneersBuccaneers,471,263,55.8,6.9,3256,22,25,168,35.7,34
SaintsSaints,534,316,59.2,6.2,3319,21,8,167,31.3,42
CardinalsCardinals,402,233,58.0,7.2,2898,29,16,146,36.3,36
BearsBears,495,258,52.1,5.9,2920,19,31,147,29.7,41
BillsBills,455,254,55.8,6.2,2799,17,18,159,35.0,43
BengalsBengals,543,300,55.2,6.5,3520,24,15,180,33.2,25
SteelersSteelers,460,236,51.3,5.4,2500,9,24,130,28.3,34
GiantsGiants,496,278,56.0,5.5,2747,12,23,139,28.0,30
RaidersRaiders,437,246,56.3,6.2,2697,20,13,152,34.8,48
